,,,,
,,,,
,,,,
Local,DIRECCION,Latitud,Longitud,NÚMERO
MINISTERIO DE TRANSPORTE Y OBRAS PUBLICAS,"RINCÓN  561 ESQ. ITUZAINGÓ, Montevideo, Uruguay","-34,9061955","-56,2040532",1
MINISTERIO DE TRANSPORTE Y OBRAS PUBLICAS,"RINCÓN  561 ESQ. ITUZAINGÓ, Montevideo, Uruguay","-34,9061955","-56,2040532",2
C.E.S. OFICINA REGULADORA,"RINCÓN 712 ESQ. JUNCAL, Montevideo, Uruguay","-34,9053872","-56,2009527",3
INSTITUTO DE CAPACITACIÓN DE FUNCIONARIOS PÚBLICOS,"CONVENCIÓN   1523 ESQ. AV. URUGUAY, Montevideo, Uruguay","-34,9030682","-56,1975397",4
INSTITUTO DE CAPACITACIÓN DE FUNCIONARIOS PÚBLICOS,"CONVENCIÓN   1523 ESQ. AV. URUGUAY, Montevideo, Uruguay","-34,9030682","-56,1975397",5
INSTITUTO NACIONAL DE ARTES ESCÉNICAS,"ZABALA  1480 ESQ. CERRITO, Montevideo, Uruguay","-34,8534948","-56,1728275",6
INSTITUTO NACIONAL DE ARTES ESCÉNICAS,"ZABALA  1480 ESQ. CERRITO, Montevideo, Uruguay","-34,8534948","-56,1728275",7
INSTITUTO NACIONAL DE ARTES ESCÉNICAS,"ZABALA  1480 ESQ. CERRITO, Montevideo, Uruguay","-34,8534948","-56,1728275",8
MINISTERIO DE VIVIENDA Y ORD. TERRITORIAL,"25 DE MAYO  402  ESQ. ZABALA, Montevideo, Uruguay","-34,9066955","-56,2074788",9
MINISTERIO DE VIVIENDA Y ORD. TERRITORIAL,"25 DE MAYO  402  ESQ. ZABALA, Montevideo, Uruguay","-34,9066955","-56,2074788",10
DIRECCIÓN GENERAL FORESTAL M.G.A.P.,"CERRITO  318 ESQ. COLÓN, Montevideo, Uruguay","-34,906342","-56,2096211",11
DIRECCIÓN GENERAL FORESTAL M.G.A.P.,"CERRITO  318 ESQ. COLÓN, Montevideo, Uruguay","-34,906342","-56,2096211",12
DIRECCIÓN GENERAL FORESTAL M.G.A.P.,"CERRITO  318 ESQ. COLÓN, Montevideo, Uruguay","-34,906342","-56,2096211",13
ASOCIACION DE DESPACHANTES DE ADUANA DEL URUGUAY,"ZABALA 1427 ESQ. 25 DE MAYO, Montevideo, Uruguay","-34,9062338","-56,2066961",14
